序号,单词,词性、词义,词义,,,
942,on,a.连接上,prep.在…上;靠近,ad.向前;继续,,
943,once,ad.一次;曾经,conj.一(旦)…就…,n.一次,,
944,only,ad.仅仅;只不过,a.唯一的,conj.可是;不过,,
945,open,a.开(着)的;开阔的,vt.开始,vi.裂开;开始,,
946,opposite,a.对面(立)的,n.对立面(物),prep.在…对面,,
947,oral,a.口头的;口语的;口(部)的,,,,
948,orange,a.橙色的;赤黄色的,n.橙色;赤黄色,,,
949,ordinary,a.平常的;普通的;平凡的;平庸的,,,,
950,other,a.另外的;其他的,n./pron.另一个人(或事),,,
951,otherwise,ad.除此以外;别样,conj./ad.否则;不然,,,
952,out,ad.出去;离家;突出来,a.外面的;往外去的,,,
953,outdoor,a./ad.户外的;野外的;户外;野外,,,,
954,outdoors,ad./a.户外(的);野外(的) (=outdoor),,,,
955,outer,a.外面(表)的;远离中心的;外层的,,,,
956,outside,a.外面的,ad.在外面,prep.在…外面,n.外表,
957,outward,a.外面的;公开的;可见的;向外的,n.外形,,,
958,over,ad.在上方;遍及地,prep.在的上方,a.结束的,,
959,overhead,a.在头顶上的;架空的,ad.在头顶上,,,
960,own,a.(用在所有格后面;加强语气)自己的,,,,
961,P.M.,abbr.(post meridiem的缩写)下午;午后,,,,
962,painful,a.(引起)疼痛的;困难的;令人不快的,,,,
963,pale,a.苍白的;淡的vi.变得苍白;变得暗淡,,,,
964,particular,a.个别的;各个的;独有的;特殊的;特别的,,,,
965,particularly,ad.especially 特别地;尤其,,,,
966,partly,ad.部分地;在一定程度上;不完全地,,,,
967,part-time,a./ad.部分时间的(地);兼职的(地),,,,
968,passive,a.not joining in or taking part,,,,
969,past,a.过去的,ad.过,n.过去;昔日,prep.(经)过,
970,patient,a./n.有耐心的;能忍耐的;病人;患者,,,,
971,peaceful,a.和平的;宁静的;安祥的;爱好和平的,,,,
972,peacefully,ad.宁静地;安祥地;爱好和平地;喜安静地,,,,
973,perfect,a.完美的;完满的;完全的,vt.使完美;改善,,,
974,perfectly,ad.完美地;无可非议地;彻底地,,,,
975,perhaps,ad.也许;可能;多半;或许,,,,
976,personal,a.个人的;私人的;本人的;身体的;容貌的,,,,
977,personally,ad.亲自;当面;就个人而言;个别地,,,,
978,physical,a.物质的;有形的;肉体的;身体的;物理的,,,,
979,piano,adj./adv.柔软的(地),,,,
980,pink,a.粉红色的;桃红色的,n.粉红色;桃红色,,,
981,plain,a.朴素的;简单的;清晰的;明白的,n.平原,,,
982,pleasant,a.令人愉快的,vt.使高兴,vi.满意;喜欢,,
983,pleased,adj.高兴的;乐意的,,,,
984,plus,a.正的;标准以上的,n.正号;正数,prep.加,,
985,poisonous,a.有毒的;有害的;恶毒的;有恶意的,,,,
986,polite,a.有礼貌的;客气的;斯文的;有教养的,,,,
987,poor,a.贫困的;可怜的;贫乏的;贫瘠的;低劣的,,,,
988,popular,a.广受欢迎的;有名的;通俗的;流行的,,,,
989,possible,a.可能的;做得到的;合理的;可允许的,,,,
990,possibly,ad.可能地;也许;无论如何,,,,
991,powerful,a.强大的;有力的;有权的;强壮的;强健的,,,,
992,practical,a.实践的;实用的;实际的;实用主义的,,,,
993,precious,a.宝贵的;贵重的;珍爱的,,,,
994,present,a.出席的,n.现在;礼物,v.赠送;提出;介绍,,
995,presently,ad.不久;一会儿;现在;目前,,,,
996,pretty,ad.相当;很a.漂亮的;俊俏的;标致的,,,,
997,priceless,a.无价的;非常贵重的;珍贵的,,,,
998,primary,a.初级的;初步的;主要的;首要的;最初的,,,,
999,private,a.私人的;秘密的;非官职的;安静的,,,,
1000,probable,a.很可能的;大概的;有希望的;可能的,,,,
1001,probably,ad.大概;或许;很可能,,,,
1002,promising,adj.有希望的;有前途的,,,,
1003,proper,a.适当的;正确的;正当的;规矩的;完全的,,,,
1004,properly,ad.正确地;适当地;完全地;彻底地,,,,
1005,proud,a.骄傲的;妄自尊大的;(of)自豪的;得意的,,,,
1006,public,a.公共/用的;公众的;公开/然的,n.公/大众,,,
1007,pure,a.纯;纯洁;抽象的;纯理论的;十足;完全,,,,
1008,puzzled,adj.迷惑的;困惑的,,,,
1009,quarrelsome,a.喜欢争吵的,,,,
1010,quick,a.快的;灵敏的;性急的,ad.迅速地,,,
1011,quickly,ad.快地;急速;立刻地;马上,,,,
1012,quiet,a.安静的;宁静的;轻声的,n.安静,v.使安静,,
1013,quietly,ad.安静地;悄悄地;平稳地;文静地,,,,
1014,quite,ad.完全地;非常;相当;颇;的确;真正地,,,,
1015,racial,adj.人种的;种族的,,,,
1016,radioactive,a.[原]放射性的;放射引起的,,,,
1017,rainy,adj.下雨的;多雨的,,,,
1018,rapid,a.快的;迅速的n.[pl.]急流;湍滩,,,,
1019,rather,ad.相当;宁可;更确切些;相反地;反面,,,,
1020,ready,a.准备好的;现成的;乐意的;情愿;迅速的,,,,
1021,real,a.真的;真实的;实际的;现实的,,,,
1022,really,ad.真正地;实际上;实际上;很;实;其实,,,,
1023,reasonable,a.合理的;有道理的;通情达理的;适度,,,,
1024,recent,a.最近的;近来的;近代的,,,,
1025,recently,ad.最近 (=lately),,,,
1026,reception,a.(旅游的)接待处;招待会;接等;接收,,,,
1027,red,a.红的;红色的,n.红色;红色颜料,,,
1028,reddish-brown,a.红棕色的,,,,
1029,regular,a.定期的;有规律的;正规(式)的;匀称的,,,,
1030,regularly,ad.有规律地;经常地;有规则地,,,,
1031,revolutionary,a.革命的;大变革的,n.革命者;革命党人,,,
1032,rich,a.富有的;富饶的;(色彩)浓艳的;贵重的,,,,
1033,right,a.右的;正确的,n.右;权利,ad.对,vt.纠正,
1034,right-handed,a.右手的;用右手的,,,,
1035,ripe,a.成熟的;时机成熟的;准备好的;成年的,,,,
1036,rocking,adj.摇动的,,,,
1037,rough,a.粗糙的;粗略的;大致的;粗野的;粗暴的,,,,
1038,round,a.圆的,prep.围绕,ad.在周围,n.一周,v.绕行
1039,rude,a.粗鲁的;不礼貌的;粗糙的;粗陋的,,,,
1040,Russian,a./n.俄罗斯人(的);俄国人(的);俄语(的),,,,
1041,sad,a.悲哀的;十分糟糕的;令人伤心遗憾的,,,,
1042,sadly,ad.悲哀地;伤心地;不幸地;可悲地,,,,
1043,safe,a.安全的;可靠的;有把握的,n.保险箱,,,
1044,sailing,adj.启航的,n.航行,,,
1045,same,a.相同的,pron.相同的人(或物),ad.同样地,,
1046,savage,a.野蛮的;未开化的;凶恶的,n.未开化的人,,,
1047,scientific,a.科学(上)的;科学性的,,,,
1048,Scottish,a.苏格兰(人)的,n.苏格兰(人);苏格兰语,,,
1049,secondhand,a.二手的;用过的;旧的;间接的,,,,
1050,secret,a./n.秘密的;机密的;秘密;奥秘,,,,
1051,secretly,adv.私下地;秘密地,,,,
1052,seldom,ad.很少;不常;难得,,,,
1053,senior,a.年长的;地位较高的,n.(大学)四年级学生,,,
1054,separately,ad.分离地;分别地;个别地,,,,
1055,serious,a.严肃的;庄重的;严重的;危急的;认真的,,,,
1056,several,a.几个;若干;数个;各个的;各自的,,,,
1057,shabby,a.简陋的;破旧的;卑鄙的;不正当的,,,,
1058,shallow,a.浅的;浅薄的;肤浅的,n.(pl.)浅滩;浅处,,,
1059,sharp,a.锋利的;急剧的;刺耳的,ad.[时刻]正;准,,,
1060,short,a.短的;矮的;(of)缺乏;不足,n.[pl.]短裤,,,
1061,shortly,ad.立刻;不久;不耐烦地;简慢地,,,,
1062,shy,a.怕羞的;腼腆的;胆怯的vi.惊退;畏缩,,,,
1063,shyly,adv.怕羞地;胆小地,,,,
1064,sick,a.有病的;患病的;恶心的;(of)厌恶的,,,,
1065,sideway,ad./a.斜向一边(的);侧身(的),,,,
1066,silent,a.沉默的;无言的;安静的;不吵闹的,,,,
1067,silly,a.傻的;糊涂的;愚蠢的,,,,
1068,similar,a.(to)相似的;类似的;与…相似,,,,
1069,simple,a.简单的;简明的;朴素的;单纯的;迟钝的,,,,
1070,simply,ad.仅仅;只是;简单地;朴素地;完全;简直,,,,
1071,sincerely,ad.由衷地;真心地;真实地,,,,
1072,single,a.单个的;独身的;每个的;个别的,,,,
1073,skilled,a.having skill;requiring training/skill,,,,
1074,sleepy,a.想睡的;困倦的;不热闹的;冷清的,,,,
1075,slight,a.轻微的;纤细的vt./n.轻视;藐视,,,,
1076,slightly,ad.稍微地;轻微地;苗条地;纤细地,,,,
1077,slow,a.(缓)慢的;迟钝的,v.(使)放慢;(使)减速,,,
1078,slowly,adv.慢慢地;缓慢地,,,,
1079,small,a.小的;年幼的;不重要的;小规模(经营)的,,,,
1080,smart,a.聪明的;(衣服)漂亮的;敏捷的,vi.刺痛,,,
1081,smelly,adj.(口)有臭味的;发出臭气的,,,,
1082,smooth,a.光滑的;平滑的;平稳的;顺利的;流畅的,,,,
1083,so,ad.那么;非常;也;不错,conj.因此;以便,,,
1084,socialist,a.社会主义的,n.社会主义者;社会党人,,,
1085,soft,a.柔软(和)的;温柔的;不含酒精的;光滑的,,,,
1086,softly,ad.柔和地;静静地;温柔地;宽厚地,,,,
1087,solid,a.固体的;实心的;结实的;可靠的,n.固体,,,
1088,some,a.几个;一些;有些;某(人或物),pron.一些,,,
1089,sometimes,ad.不时;有时;间或,,,,
1090,somewhere,ad.某地;在某处;在附近;前后;大约,,,,
1091,soon,ad.不久;即刻;快;早,,,,
1092,sorry,a.对不起;抱歉的;难过;悔恨的;使人伤心,,,,
1093,sound,a.健康的;健全的;可靠的;充分的;彻底的,,,,
1094,southern,a.北部的;来自北方的;向北的,,,,
1095,Soviet,a.苏联的;苏维埃的,n.苏维埃,,,
1096,Spanish,a.西班牙语的;西班牙(人)的,n.西班牙语/人,,,
1097,special,a.特殊的;专门的n.特价;特刊;特别节目,,,,
1098,spiritual,a.精神的;心灵的;神圣的,,,,
1099,splendid,a.华丽的;漂亮的;优秀的;极好的,,,,
1100,spoken,a.口头的;口语的,,,,
1101,spoonful,adj.一匙的量,,,,
1102,square,a.正方形的;平方的n.正方形;广场v.求平方,,,,
1103,steadily,adv.坚定地;不动摇地,,,,
1104,steady,a.稳的;持续的;稳重的v.(使)平稳(稳定),,,,
1105,steep,a.陡的;过高的;急剧的vt.浸泡;沉浸,,,,
1106,still,a.静止的;寂静的,ad.还;仍然;更;安静地,,,
1107,stormy,a.有暴风雨的;激烈的,,,,
1108,straight,a.直的;整齐的;有条理的;正直的,ad.直接,,,
1109,strange,a.奇怪的;奇异的;陌生的;生疏的;外地的,,,,
1110,strict,a.严格的;严厉的;严谨的;精确的;完全的,,,,
1111,strong,a.强有力的;强壮的;坚强的;强烈的;浓的,,,,
1112,strongly,ad.强有力地;牢固地;坚强地;强烈地,,,,
1113,stupid,a.愚蠢的;迟钝的;无聊的;恼人的,,,,
1114,successful,adv.圆满地;顺利地;成功地,,,,
1115,such,a.这样的;这种的,pron.这样的人;这样的事,,,
1116,sudden,a.出乎意料的;突然的,,,,
1117,suddenly,ad.突然地;出乎意料地,,,,
1118,suitable,a.(for)合适的;适宜的,,,,
1119,sunburnt,a.晒伤的;日灼的,,,,
1120,sunny,a.阳光充足的;各煦的;像太阳的;金黄色的,,,,
1121,sure,a.肯定的;一定会…的;有信心的;有把握的,,,,
1122,surely,ad.确实地;无疑地;必定地;一定地,,,,
1123,sweet,a.甜的;芳香的;可爱的,n.甜点;[pl.]糖果,,,
1124,swift,a.迅速的;速度快的;敏捷的;反应快的,,,,
1125,Swiss,adj.瑞士人的,n.瑞士人,,,
1126,tall,a.(身材)高的;难以置信的;难以办成的,,,,
1127,technical,a.技术(性)的;工艺的;专门性的;专业性的,,,,
1128,terrible,a.很糟的;可怕的;骇人的;极度的;厉害的,,,,
1130,that,a./pron.那;那个,ad.那么,,,
1131,then,ad.当时;在那时;然后;于是;那么;因而,,,,
1132,there,"ad.在那儿;往那儿;[作引导词表示""存在""]",,,,
1133,therefore,ad.因此;所以,conj.因此,,,
1134,thick,a.厚的;粗的;稠的;浓的,ad.厚;浓;密,,,
1135,thin,a.薄的;瘦的;稀薄的;稀少的,v.(使)变薄,,,
1136,thirsty,a.口渴的;(for)渴望的;渴求的,,,,
1137,thorough,a./ad.彻底的;完全的;周到的;精心的,,,,
1138,though,ad.可是;然而;不过,conj.尽管;虽然,,,
1139,thus,ad.如此;像这样;于是;因此,,,,
1140,tidy,a.整洁的;整齐的,v.整理;收拾;使…整洁,,,
1141,tight,a.紧的;紧身的;紧贴的,ad.紧紧地;牢牢地,,,
1142,tightly,ad.紧紧地;坚固地;牢固地,,,,
1143,tiny,a.极小的;极少量的,,,,
1144,tired,a.疲劳的;累的;(of)厌倦的;厌烦的,,,,
1145,tiresome,a.令人疲劳的;令人厌倦的,,,,
1146,tiring,a.令人疲累的(修饰事物),,,,
1147,today,ad.在今天;现今;在当代,n.今天;现在,,,
1148,together,ad.在一起;共同;总合地;合计地;到一起,,,,
1149,tonight,ad.在今晚;在今夜,n.今晚;今夜,,,
1150,too,ad.也;还;太;过于;很;非常,,,,
1151,total,a.总的;完全的,n.总计;合计,,,
1152,tough,a.坚韧的;困难的;强健的;粗暴的;凶恶的,,,,
1153,troublesome,a.令人烦恼的;讨厌的;麻烦的;难处理的,,,,
1154,truly,adv.真实地;真诚地;确定地,,,,
1155,twice,adv.两次;两倍地,,,,
1156,twin,a.双的;成对的;孪生的,n.孪生子;双生子,,,
1157,ugly,a.难看的;丑陋的;讨厌的;丑恶的;卑劣的,,,,
1158,unable,a.[后接动词不定式]不能的;不会的,,,,
1159,unboiled,adj.未煮开的,,,,
1160,uncertain,a.(of)不定的;不确知的;不可靠的;易变的,,,,
1161,underground,a.地(面)下的;秘密的;不公开的,ad.秘密地,,,
1162,underwater,a./ad.水下面的(地),,,,
1163,unfair,a.不公平的,,,,
1164,unfit,a.(for)不适宜的;不适当的,,,,
1165,unfortunatelly,a.不幸运的,,,,
1166,unhealthy,a.有碍健康的;体弱多病的;不健康的,,,,
1167,united,a.和谐的;团结的;联合的;统一的,,,,
1168,unknown,a.未知的;不出名的,n.不知名;未知数(量),,,
1169,unmarried,a.未婚的;独身的,,,,
1170,unpleasant,a.令人不快的;爱争执的,,,,
1171,unsold,adj.未卖掉的;未售出的,,,,
1172,unusual,a.不平常的;少有的;与众不同的;独特的,,,,
1173,up,ad.向上;…起来;…完;起床,prep.向上,,,
1174,upper,adj.上部的;在……之上的,,,,
1175,upset,a.心烦的;苦恼的,,,,
1176,upstairs,ad.在楼上;往楼上,a.楼上的;在楼上的,,,
1177,upwards,ad.向上;上升;…以上(=upward),,,,
1178,used,a.用旧了的;旧的;习惯于…;过去惯/经常,,,,
1179,useful,a.有用的;实用的;有益的;有帮助的,,,,
1180,useless,a.无用的;无价值的;无益的;无效的,,,,
1181,usual,a.通常的;平常的;惯常的,,,,
1182,usually,adv.通常;平常;一般,,,,
1183,valuable,a.贵重的;有价值的,n.[pl.]贵重物品;财宝,,,
1184,various,a.各种各样的;不同的;多方面的;多种的,,,,
1185,vast,a.广阔的;浩瀚的;巨大的;庞大的;大量的,,,,
1186,very,ad.很;非常;完全,a.正是的;真正;真实的,,,
1187,video,a.电视的;视频的;录像的,n.电视;录像,,,
1188,violent,a.剧烈的;猛力的;强暴的;由暴力引起的,,,,
1189,warm,a.温暖的;热心的;热情的,v.(使)变暖,,,
1190,warm-blooded,adj.(动物)温血的,,,,
1191,warmhearted,adj.热情的;亲切的,,,,
1192,washing,adj.洗衣服用的;清洗用的,,,,
1193,waste,a.荒芜的;无用的;废弃的,v./n.浪费;废物,,,
1194,weak,a.虚弱的;无力的;弱的;淡薄的;不充分的,,,,
1195,wealthy,a.富裕的;富庶的,,,,
1196,weekly,a.每周的;一周一次的,ad.每周一次地,n.周报,,
1197,well,ad.好;令人满意地;很,int.哎呀;好啦;嗯,n.井;水井;油井;气井;电梯井,,
1200,western,a.西方的;西部的,n.(美国)西部小说/电影,,,
1201,westwards,a.向西的,,,,
1202,wet,a.湿的;潮的;多雨的;雨天的,v.(使)弄湿,,,
1203,when,ad./pron.何时;当时,conj.那时;然后;而,,,
1204,where,ad.在哪/那里,conj./pron.哪里,,,
1205,which,a./pron.哪个;哪些;什么样的;那个;那些,,,,
1206,white,a.白色的;苍白的;白种的,n.白色;白种人,,,
1207,why,ad./conj.为什么;…的理由,int.咳;哎呀,,,
1208,wide,a.宽的;宽阔的;广泛的,ad.广大地;全部地,,,
1209,widely,ad.广泛地;普遍地;广博地;大大地,,,,
1210,widespread,a.分布广的;流传广的,v.加宽;放宽,,,
1211,wild,a.野的;野生的;未开发的;原始的;放荡的,,,,
1212,willing,a.愿意的;乐意的;心甘情愿的,,,,
1213,willingly,adv.乐意地;自愿地,,,,
1214,windy,adj.有风的;多风的,,,,
1215,wireless,a.无线的,n.无线电话(电报);无线电广播,,,
1216,wise,a.有智慧的;聪明的;明智的;有学问的,,,,
1217,wonderful,a.令人惊奇的;精彩的;绝妙的;了不起的,,,,
1218,wooden,a.木制的;木头的;木头似的;呆笨的,,,,
1219,woolen,a.羊毛(制)的;毛纺的,,,,
1220,world-famous,adj.世界闻名的,,,,
1221,worldwide,a.全世界的;世界范围的,ad.遍及全世界,,,
1222,worried,a.担忧的;担心的;发愁的,,,,
1223,worse,a.更坏(差)的;(病)更重的,ad.更坏(差)地,,,
1224,worst,a.最坏(差;恶劣)的,ad.最坏地;最差地,,,
1225,worth,a.值钱;值得;具有…价值,n.价值;作用,,,
1226,worthless,a.无价值的;无用的;不足道的;不可取的,,,,
1227,worthwhile,a.值得花时间(或精力)的;有价值的,,,,
1228,worthy,a.值得…的;有价值的;可尊敬的/配得上的,,,,
1229,wounded,adj.受伤的,n.伤员,,,
1230,wrong,a.错的,ad.错误地;不正确地,n.错误,v.委屈,
1231,yearly,a.每年的;一年一度的,ad.每年;一年一次地,,,
1232,yellow,a.黄的;黄色的,n.黄色,,,
1233,yes,ad.是[用于肯定句前];是的,,,,
1234,yet,ad.还;尚;仍然;已经,conj.然而,ad.甚至,,
1235,young,a.年轻的;幼小的;没经验的,n.青年人,,,
1236,youthful,a.年轻的;有青春省活力的,,,,
1237,FALSE,a.不真实的;错误的;人造的;假的;虚伪的,,,,
1238,TRUE,a.真实;不假的;忠实;可靠的;正确无误的,,,,
1239,Olympic,*a.奥林匹克的,n.奥林匹克运动会,,,
1243,delighted,*a.高兴的;快乐的,,,,
1244,disappointing,*a.令人失望的;令人扫兴的,,,,
1247,salty,*a.盐的;咸的;含盐的,,,,
1248,wagging,*a.摇动的;摆动的,,,,
1249,gifted,*a.有天赋的;有才华的,,,,
1250,thickly,*ad.茂密地;葱葱地,,,,
1251,surprisingly,*ad.使人惊奇地;出人意料地,,,,
1301,ability,n.能力;本领;才能;才干;专门技能;天资,,,,
1303,absence,n.缺乏;不存在;缺席;不在;缺席的时间,,,,
1304,accident,n.意外遭遇;事故;意外(因素),,,,
1305,achievement,n.实现;完成;达到;(不可数)成绩;成就,,,,
1306,action,n.行动;动作;作用;运转;行为;战斗,,,,
1307,activity,n.(人脑器官等的)正常活动;活动;行动,,,,
1308,actor,n.男演员;演员;行动者,,,,
1309,actress,n.女演员,,,,
1310,address,n.住址;致词,v.向…致词;在信封上写姓名,,,
1311,advance,n.前进;预付,vi.前进;进展,vt.促进;推进,,
1312,advantage,n.优点;长处;有利条件;利益;好处,,,,
1313,adventure,n.冒险;冒险活动;奇遇,vt.大胆进行,,,
1314,advertisement,n.广告;公告;启事;广告活动,,,,
1315,advice,n.劝告;忠告;(医生等的)意见,,,,
1317,affair,n.[pl.]事务;事情(件);(个人的)事,,,,
1318,Africa,n.非洲,,,,
1319,afternoon,n.下午;午后,,,,
1320,age,n.年龄;时代;老年;长时间,,,,
1321,agreement,n.协定;协议;契约;达成协议;同意;一致,,,,
1322,agriculture,n.农业;农艺;农耕,,,,
1323,aid,n.援助;救护;助手;辅助物,vi.援助;救援,,,
1324,aim,n.目的;瞄准,vi.(at)目的在于,vt.把…瞄准,,
1325,air,n.空气,,,,
1326,aircraft,n.飞机;飞船;飞行器,,,,
1327,airline,n.(飞机)航线,a.(飞机)航线的,,,
1328,airport,n.机场;航空站;航空港,,,,
1329,alarm,n.惊恐;警报(器),vt.惊动;惊吓;向…报警,,,
1330,America,n.美国[=the USA];美洲,,,,
1331,amount,n.总数;数量;数额,v.共计;等同;接近(to),,,
1332,amusement,n.娱乐;消遣;娱乐活动;快乐;欢乐,,,,
1333,ancestor,n.祖宗;祖先;原型;先驱,,,,
1334,anger,n.愤怒;气愤,vt.使发怒;激怒,vi.发怒,,
1335,animal,n.动物;野兽;牲畜,a.动物的;野兽的,,,
1336,ankle,n.足踝;踝关节,,,,
1337,announcement,n.布告;通告;声明;预告,,,,
1338,anxiety,n.挂念;焦虑;焦急;忧虑;渴望;热望,,,,
1339,apology,n.道歉;认错;辩解;辩护,,,,
1340,appearance,n.出现;露面;外表;(在会议等)作短暂露面,,,,
1341,apple,n.苹果;苹果树,,,,
1342,application,n.申请;请求;申请书;应用;实施;实用性,,,,
1343,Arab,n.阿拉伯人;阿拉伯马,a.阿拉伯人的,,,
1344,Arabic,n.阿拉伯语,a.阿拉伯人(语)的;阿拉伯的,,,
1345,architechure,n.建筑;建筑学,,,,
1346,architect,n.建筑师;设计师;缔造者;创造者,,,,
1347,architecture,n.建筑;建筑学;建筑式样或风格;建筑物,,,,
1348,area,n.面积;地区;地域;领域;范围,,,,
1349,argument,n.争论(吵);辩论;理由;论证,,,,
1350,arithmetic,n.算术;四则运算,,,,
1351,arm,n.手臂;扶手;臂状物,v.武装;配备,n.武器,,
1352,armchair,n.扶手椅;安乐椅,,,,
1353,arms,n.兵器;武器,,,,
1354,army,n.军队;陆军;军;大群;大批,,,,
1355,arrival,n.到达;到来;到达者;到达物,,,,
1356,arrow,n.箭;矢;箭状物;箭头符号,,,,
1357,art,n.艺术;美术;技术;技艺;文科;人文科学,,,,
1358,article,n.文章;论文;条款;条文;物件;冠词,,,,
1359,artist,n.艺术家;美术家;(某方面的)能手,,,,
1360,ash,n.灰;灰末;(pl.)骨灰;(pl.)废墟,,,,
1361,Asia,n.亚洲,,,,
1362,Asia,n.亚洲,,,,
1363,astonishment,n.惊奇;惊讶,,,,
1364,astronaut,n.太空人;太空旅行者,,,,
1366,athlete,n.运动员;体育家;身强力壮的人,,,,
1367,atmosphere,n.大气(层);空气;气氛;环境;大气压,,,,
1368,attention,n.注意;注意力;立正;特别照顾;照料,,,,
1369,attitude,n.态度;看法(to;toward; about);姿势,,,,
1370,aunt,n.姨母;姑母;伯母;婶母;舅母;阿姨,,,,
1371,Australia,n.澳大利亚(地名),,,,
1372,author,n.作者;作家;著作人;创始人;发起人,,,,
1373,autumn,n.秋;秋季;成熟期;渐衰期,,,,
1374,avenue,n.林荫路;大街;(比喻)途径;渠道;方法,,,,
1375,average,n.平均;平均数,a.平均的;平常的;普通的,,,
1376,baby,n.婴儿;年龄最小的人;幼畜或雏鸟,,,,
1377,baby-sitter,n.(代人临时)照看婴儿者,,,,
1378,bag,n.袋;提包,v.把…装入袋中;猎杀;占有,,,
1379,baggage,n.(美)行李,,,,
1380,balance,n./v.秤;平衡;艺术作品的和谐;余额;结欠,,,,
1381,ball,n.球(状物);(正式的)舞会vt.把…捏成球状,,,,
1382,balloon,n.气球,vi.如气球般膨胀,,,
1383,ballpen,n.圆珠笔,,,,
1384,bamboo,n.竹;竹子,a.用竹子制的,,,
1385,banana,n.香蕉;芭蕉属植物,,,,
1386,bang,n.巨响;猛击,vi.砰砰作响,vt.砰地敲;猛击,,
1387,bank,n.堤;银行;田埂;一团,vi.把钱存入银行,,,
1388,banker,n.银行家;银行工作人员,,,,
1389,bar,n.棍;闩;酒吧;障碍;(光、色等的)带、条,,,,
1390,bargain,n.契约;交易;劳资协议;便宜货,v.讲价钱,,,
1391,base,n.基(础);底(座);基地,vt.(on)以…为基础,,,
1392,basin,n.脸盆;盆;盆地;流域;内海,,,,
1393,basket,n.筐;篮;篓,,,,
1394,basketball,n.篮球;篮球运动,,,,
1395,bat,n.球拍;球棒;蝙蝠,v.用棒击;打击球,,,
1396,bath,n.洗澡;浴盆;公共浴室,v.洗澡;给…洗澡,,,
1397,bathroom,n.浴室;盗洗室;卫生间,,,,
1398,battle,n.战斗;战役;斗争,vi.战斗;战争;搏斗,,,
1399,battlefield,n.战场;争论点,,,,
1400,battlefield,n.战场;争论点,,,,
1401,battleship,n.战舰,,,,
1402,bay,n.海湾;港湾;(建筑物或房间的)分隔间,,,,
1403,beach,n.海滩;沙滩,v.拖(船)上岸,,,
1404,beam,n.(横)梁;衍条;(光线的)束,v.微笑;发光,,,
1405,bean,n.豆;蚕豆;豆科植物,,,,
1406,beard,n.(下巴上的)胡须;络腮胡子,,,,
1407,beast,n.兽;野兽;牲畜;凶残的人;令人厌憎的人,,,,
1408,beauty,n.美;美丽;美人;美丽的事物,,,,
1409,bed,n.床;床位;(苗)床;坛;河床;(湖、海的)底,,,,
1410,bedclothes,n.(复)被褥;寝具(床单、毯子等),,,,
1411,bedroom,n.寝室;卧室,,,,
1412,bee,n.蜂;蜜蜂;忙碌的人,,,,
1413,bee,n.蜂;蜜蜂;忙碌的人,,,,
1414,beef,n.牛肉,vi.抱怨;诉苦,,,
1415,beefsteak,n.牛排,,,,
1416,beer,n.啤酒,,,,
1417,beggar,n.乞丐;穷人;募捐者,,,,
1418,beginning,n.开始;开端;起源;早期阶段,,,,
1419,belief,n.信任;相信;信念;信仰;信条,,,,
1420,bell,n.钟;铃(声);钟形物,,,,
1421,belonging,n.[常pl.]所有物;行李,,,,
1422,belt,n.腰带;皮带;(农作物等)地带,v.用带系上,,,
1423,bench,n.长凳;工作台;台座;法官席;全体法官,,,,
1424,bend,n.弯曲,vt.使弯曲;使屈从,vi.弯曲;屈身,,
1425,bent,n.爱好;癖好,a.弯的;决心的;一心的,,,
1426,Berlin,n.柏林(德国首都),,,,
1427,best-seller,n.畅销书(货),,,,
1428,bicycle,n.自行车,vi.骑自行车,,,
1429,bill,n.帐单;招贴;议案;钞票,v.宣布…的扮演,,,
1430,biologist,n.生物学家,,,,
1431,biology,n.生物学;一个地区的生物,,,,
1432,bird,n.鸟;雀;女人;嘘声,,,,
1433,birth,n.出生;诞生;出身;血统;起源;出现,,,,
1434,birthday,n.生日;(成方)纪念日,,,,
1435,birthplace,n.诞生地;发源地,,,,
1436,biscuit,n.(英)饼干;(美)软饼,,,,
1437,bison,n.(pl.bison或bisons)北美野牛,,,,
1438,bit,n.一点;一些;一片;片刻;(电脑)位,,,,
1439,blanket,n.毯子(可数);厚厚一层(可数),vt.铺上一层,,,
1440,block,n.大块;一排房屋;街区(四条街中间的区域),,,,
1441,blood,n.血液;血;血统;血亲;血气,,,,
1442,blouse,n.女衬衣;短上衣;宽阔的罩衫,,,,
1443,board,n.板;木板;纸板;董事会,vt.上船/车/飞机,,,
1444,boat,n.小船;艇;船形物,vi.划船,,,
1445,boating,n.划船(游玩),,,,
1446,body,n.身体;躯体;车身;船身;正文;主要部分,,,,
1447,bomb,n.炸弹;原子弹;核弹,vt.爆炸;投炸弹,,,
1448,book,n.书;书籍,vt.订(票;座位;房间等);预定,,,
1449,bookseller,n.售书员;书商,,,,
1450,bookshop,n.书店,,,,
1451,bookstore,n.书店,,,,
1452,boot,n.靴;(汽车后部的)行李箱;[the-]解雇,,,,
1453,border,n.边;边缘;边界;国界,vi.和…接界;近似,,,
1454,boss,n.老板;上司,vt.指挥;控制;发号施令,,,
1455,bottle,n.瓶子;一瓶(的量),vt.把…装入瓶内,,,
1456,bottom,n.底;末尾;臀部a.最低的vi.(out)达最低点,,,,
1457,bow,n.弓;弓形物n.鞠躬v.鞠躬;低头;压弯,,,,
1458,bowl,n.碗;钵;碗状物;盆,,,,
1459,box,n.盒;箱;包厢,v.把…装箱;拳击;打耳光,,,
